disability_clean,age_clean,sex_clean,White,Asian,Mixed_race,Hispanic,Black_hispanic,Black,Native_american
FALSE,00_05,Male,1.4013332130209337,0.37384413065112165,0.14405208222475174,1.1145550011330192,0.07178021844646333,0.5558869885169032,0.0046284186794038895
FALSE,00_05,Female,1.3184288981776198,0.3479756404139812,0.1351776356795857,1.0670541162955747,0.07186464239233227,0.545825640615109,0.006778746241830804
FALSE,06_18,Male,3.1986693594263578,0.7412670753017399,0.1974874738453374,2.0371150510166456,0.1319893901944169,1.2300320607383608,0.01164057230099004
FALSE,06_18,Female,3.0989547471261965,0.7398368343364305,0.19721930366434193,2.007412720414162,0.12637768085136286,1.2290487700747108,0.01127804594519982
FALSE,19_64,Male,13.109181466639605,3.347925929608208,0.3578284115083346,6.6017737868316235,0.3408591983886746,4.1200822368690595,0.033268000786831176
FALSE,19_64,Female,13.356071847161669,3.7157014683856904,0.40780242134829314,6.461222815303201,0.39923090778536274,4.869742045613066,0.03319350906988798
FALSE,65_+,Male,2.7238641217448922,0.4239422933526522,0.025054047465228133,0.5095829372650127,0.03592487202447182,0.4935324553209855,0.0036550602446794663
FALSE,65_+,Female,3.3576694461843775,0.4496121390112774,0.034102308016594966,0.6740258854743486,0.038437725942688954,0.7300138599288545,0.008308309496397754
TRUE,00_05,Male,0.013363814019609298,0.005333606933132808,6.257304223228435e-4,0.017892910409755595,0.001405410392994958,0.006748949555053525,1.0428840372047391e-4
TRUE,00_05,Female,0.010548027119156504,0.0018026995500253348,7.995444285236333e-4,0.015966057998158267,6.853237958774e-4,0.006043761301324607,1.0925451818335362e-4
TRUE,06_18,Male,0.16044522606671766,0.024011163428023397,0.01146179218032637,0.1502050980442597,0.013368780134072179,0.08821309120413229,4.320519582705348e-4
TRUE,06_18,Female,0.08508940520698094,0.01094531627618688,0.007141272597621024,0.09252367855791188,0.009122752268310027,0.0502719767077313,3.575602413273391e-4
TRUE,19_64,Male,1.0700586155456169,0.13274920570723753,0.04108466495140384,0.5495700909201202,0.04153658136752589,0.4683145260784824,0.0065701694343898555
TRUE,19_64,Female,0.9513684798827917,0.14262680737390526,0.04636861073990785,0.6478395639115839,0.06957526362494473,0.5636986865670129,0.009475346395174486
TRUE,65_+,Male,1.1962028890172243,0.13712931866349742,0.014520918689460273,0.27008710117817586,0.02020711974945754,0.25071428865848217,0.004037451058321204
TRUE,65_+,Female,1.8565322308029506,0.220788482905169,0.02707525605162018,0.49058754944449784,0.044168622032852135,0.5226338860734606,0.0044992997033690176
