disability_clean,age_clean,sex_clean,White,Asian,Mixed_race,Hispanic,Black_hispanic,Black,Native_american
FALSE,00_05,Male,1.0822290102693255,0.48472590115763964,0.15486278850903623,1.2305739653202201,0.11035930199376788,0.7875481814485407,0.0045321135873816615
FALSE,00_05,Female,1.0041902193484573,0.4264391825982724,0.1443735153093746,1.188383258419131,0.10961173686595234,0.7761127711339874,0.010500953904783799
FALSE,06_18,Male,1.7188508008349836,0.8371561361021743,0.17000098234730077,2.210409914489062,0.20790487046857264,1.6429846210668293,0.014986344671676989
FALSE,06_18,Female,1.6812155689315205,0.8334299911682188,0.17254737606392243,2.2071860398753573,0.19057070406735002,1.6488833771534988,0.012778691403596745
FALSE,19_64,Male,9.603922474225648,4.314513731661731,0.4280628006102467,7.605493996292778,0.5321028411329489,5.700370990875384,0.037693635429073766
FALSE,19_64,Female,9.70448166462196,4.87970801040564,0.5066155425564882,7.647836552360454,0.6409202900505973,6.863430480589764,0.040567088889114714
FALSE,65_+,Male,1.698841752960796,0.5431411074733502,0.025650828448170432,0.6365867484502917,0.06649825426021598,0.7019636550187843,0.004812450510312485
FALSE,65_+,Female,2.087902679168292,0.5723779123940107,0.04388440914379614,0.8759594385178494,0.0705397782324687,1.0646845911759046,0.009975322174288502
TRUE,00_05,Male,0.010664483776493445,0.008118090059871791,0.0010979862814790623,0.02350157870570078,0.002114207627103301,0.010255659097219327,NA
TRUE,00_05,Female,0.009122630700373911,0.0027566464088197734,7.242037175712964e-4,0.01710055229878029,0.0016119373068522404,0.009251118456717207,2.5697551268658904e-4
TRUE,06_18,Male,0.06264362156991714,0.02758982549844197,0.00983515371282309,0.190769276054426,0.02309275402642666,0.11542872801676696,NA
TRUE,06_18,Female,0.04202717702937942,0.012334824608956275,0.008106409354749673,0.11704066532361919,0.015266681594607812,0.07260726303908352,NA
TRUE,19_64,Male,0.6559883996581292,0.2021112407280023,0.04683962753969191,0.7549006106322217,0.07870459111282896,0.6261091559557521,0.011470452429919566
TRUE,19_64,Female,0.6124777730782407,0.2157426236055136,0.05912772932815971,0.945588121750793,0.13564802858315267,0.846442296674258,0.010267339802341444
TRUE,65_+,Male,0.8153716210494248,0.206152764700255,0.017077190888536053,0.39595254222954523,0.03729649145492177,0.36986952769185644,0.00443866794640472
TRUE,65_+,Female,1.3135887366231105,0.3312180744427691,0.034586567866590465,0.752552788902676,0.08512897892999367,0.7975468650330733,0.005945478907157901
